Show #,date,location,venue,setlist
1,"October 22, 1990"," Seattle, WA",Off Ramp Café,"['Release', 'Alone', 'Alive', 'Once', 'Even Flow', 'Black', 'Breath', 'Just A Girl']"
2,"December 19, 1990"," Seattle, WA",The Vogue,['No setlist information available...']
3,"December 22, 1990"," Seattle, WA",Moore Theatre,"['Release', 'Once', 'Alive', 'Why Go', 'Even Flow', 'Alone', 'Porch', 'Breath']"
4,"January 10, 1991"," Victoria, BC",Harpo's,['No setlist information available...']
5,"January 11, 1991"," Vancouver, BC",Town Pump,"['Oceans', 'Even Flow', 'Once', 'Porch', 'Just A Girl', 'Alive', 'Alone', 'Why Go', 'Breath']"
6,"February 1, 1991"," Seattle, WA",Off Ramp Café,['No setlist information available...']
7,"February 7, 1991"," Los Angeles, CA",Florentine Gardens,"['Release', 'Once', 'Even Flow', 'Alone', 'Breath', 'Brother', 'Garden', 'Porch', 'Why Go']"
8,"February 8, 1991"," Long Beach, CA",God Save The Queen,"['Wash', 'Once', 'Even Flow', 'Alone', 'Alive', 'Deep', 'Porch']"
9,"February 10, 1991"," San Diego, CA",The Bacchanal,['No setlist information available...']
10,"February 11, 1991"," Hollywood, CA",Club With No Name,"['Wash', 'Once', 'Even Flow', 'Breath', 'Porch']"
11,"February 12, 1991"," Los Angeles, CA",The Cathouse,['No setlist information available...']
12,"February 13, 1991"," San Diego, CA",Winter's,['No setlist information available...']
13,"February 14, 1991"," Oakland, CA",Real Rock Club,['No setlist information available...']
14,"February 15, 1991"," San Francisco, CA",I-Beam,['No setlist information available...']
15,"February 16, 1991"," Sacramento, CA",Cattle Club,['No setlist information available...']
16,"February 17, 1991"," Eugene, OR",Union Trade Woodmen of the World,['No setlist information available...']
17,"February 20, 1991"," Portland, OR",Melody Lane Ballroom,"['Release', 'Alive']"
18,"February 25, 1991"," Seattle, WA",Off Ramp Café,['No setlist information available...']
19,"February 26, 1991"," Seattle, WA",The Vogue,"['Release', 'Once', 'Even Flow', 'Alone', 'Breath', 'Garden', 'Porch', 'Why Go']"
20,"March 1, 1991"," Seattle, WA",Off Ramp Café,['No setlist information available...']
21,"March 8, 1991"," Seattle, WA",Unknown Seattle,['No setlist information available...']
22,"May 15, 1991"," Eugene, OR",Union Trade Woodmen of the World,['No setlist information available...']
23,"May 17, 1991"," Seattle, WA",Off Ramp Café,"['Once', 'Even Flow', 'Alone', 'Porch', 'Alive', 'Deep', 'Jeremy', 'Why Go', 'Garden', 'Oceans']"
24,"May 25, 1991"," Seattle, WA",RKCNDY,['No setlist information available...']
25,"July 4, 1991"," Seattle, WA",RKCNDY,"['Wash', 'Once', 'Even Flow', 'Garden', 'Breath', 'Alive', 'Porch', 'Jeremy']"
26,"July 10, 1991"," Boston, MA",Citi,"['Wash', 'Once', 'Even Flow', 'Alone', 'Alive', 'Why Go', 'Porch', 'State Of Love And Trust']"
27,"July 12, 1991"," Philadelphia, PA",JC Dobbs,"['Wash', 'Once', 'Even Flow', 'State Of Love And Trust', 'Alive', 'Oceans', 'Jeremy', 'Why Go', 'Porch', 'Alone', 'Breath']"
28,"July 13, 1991"," New York, NY",The Marquee Room,"['Wash', 'Once', 'Even Flow', 'State Of Love And Trust', 'Alive', 'Garden', 'Deep', 'Why Go', 'Porch']"
29,"July 15, 1991"," Providence, RI",Club Babyhead,"['Wash', 'Once', 'State Of Love And Trust', 'Even Flow', 'Garden', 'Breath', 'Porch', 'Jeremy', 'Why Go']"
30,"July 17, 1991"," New York, NY",Wetlands Preserve,"['Wash', 'Once', 'Even Flow', 'Alive', 'State Of Love And Trust', 'Black', 'Why Go', 'Garden', 'Porch', 'Alone', 'Breath']"
31,"July 19, 1991"," Columbus, OH",Stache's,['No setlist information available...']
